,AAP,Catégorie_AAP,Convention_AAP,AAP Actifs 2021,AAP Actifs 2022,AAP Actifs 2023,AAP Actifs 2024,AAP Actifs 2025,AAP Actifs 2026,AAP Actifs 2027,AAP Actifs 2028,AAP Actifs 2029,AAP Actifs 2030,AAP Actifs 2031,AAP Actifs 2032,AAP Actifs 2033,AAP Actifs 2034,AAP Actifs 2035
0,AERONEF BAS CARBONE1,SA/FR2030,Démonstrateur Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,DIV. SOUSTRAI AUTO 1,SA/FR2030,Industrialisation,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2,CORAM 2022,SA/FR2030,Démonstrateur Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
3,CAPACITES SANTE 1,SA/FR2030,Industrialisation,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
4,DEPEND MET CRIT 1,SA/FR2030,Industrialisation,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
5,DEPEND UKR-RU AMI1,SA/FR2030,Structurel,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
6,MINI MICRO LANCEUR 1,SA/FR2030,Maturation Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
7,SEO 1,SA/FR2030,Maturation Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
8,PREMIERE USINE 1,SA/FR2030,Structurel,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
9,GENERIQUE 1,i-Démo,Structurel,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
10,CORIMER AMI 2022,i-Démo,Structurel,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
11,EUROPE 1,i-Démo,Structurel,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
12,EUROPE 2,i-Démo,Structurel,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
13,2021,i-Lab,Structurel,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
14,2022,i-Lab,Structurel,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
15,VAGUE 8,i-Nov,Structurel,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
16,VAGUE 9,i-Nov,Structurel,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0
17,FUTURTECHNOSRESEAU 1,SA/FR2030,Démonstrateur Dirigé,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
18,FR DE 2,SA/FR2030,Déploiement Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
19,ALIM DURABLE SANTE 1,SA/FR2030,Démonstrateur Dirigé,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
20,SOLUTIONS INNO 1,SA/FR2030,Démonstrateur Dirigé,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
21,BIOTH ET PROD AMI 1,SA/FR2030,Démonstrateur Dirigé,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
22,INNO BB 1,SA/FR2030,Démonstrateur Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
23,DEV SUIT BUR CLOUD 1,SA/FR2030,Démonstrateur Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
24,TECHNOS CRITIQUES 2,SA/FR2030,Maturation Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
25,CRYPTO POSTQUANTIQ 1,SA/FR2030,Maturation Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
26,ACCEL CYBER AMI 1,SA/FR2030,Maturation Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
27,MAT SOLUTIONS EMB. 1,SA/FR2030,Maturation Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
28,MIE MN AMI1,SA/FR2030,Maturation Dirigé,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
29,MOB ROUTIER DECARB 1,SA/FR2030,Démonstrateur Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
30,PRESERIES 1,SA/FR2030,Démonstrateur Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
31,SYST AGRI 1,SA/FR2030,Démonstrateur Dirigé,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
32,SANTE NUMERIQUE 1,SA/FR2030,Maturation Dirigé,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
33,DECHETS NUC 1,SA/FR2030,Démonstrateur Dirigé,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
34,ALIM DURABLE AMI 1,SA/FR2030,Démonstrateur Dirigé,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
35,CAMP. FABLAB5G AMI1,SA/FR2030,Déploiement Dirigé,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
